antibiotic	drug_class	n_total	n_resistant	n_susceptible
amikacin	AMINOGLYCOSIDE	1206	276	930
amoxicillin_clavulanic_acid	BETA-LACTAM	4457	905	3552
ampicillin	BETA-LACTAM	6450	3032	3418
ampicillin_sulbactam	BETA-LACTAM	512	314	198
azithromycin	MACROLIDE	5314	587	4727
aztreonam	BETA-LACTAM	263	151	112
cefazolin	BETA-LACTAM	530	475	55
cefepime	BETA-LACTAM	1044	275	769
cefotaxime	BETA-LACTAM	815	371	444
cefoxitin	BETA-LACTAM	4979	994	3985
ceftazidime	BETA-LACTAM	1373	580	793
ceftiofur	BETA-LACTAM	1129	405	724
ceftriaxone	BETA-LACTAM	5561	1158	4403
chloramphenicol	PHENICOL	4460	340	4120
ciprofloxacin	QUINOLONE	6375	1231	5144
colistin	COLISTIN	323	164	159
doripenem	BETA-LACTAM	115	31	84
ertapenem	BETA-LACTAM	1316	148	1168
gentamicin	AMINOGLYCOSIDE	6072	1271	4801
imipenem	BETA-LACTAM	573	39	534
kanamycin	AMINOGLYCOSIDE	1130	155	975
levofloxacin	QUINOLONE	1049	675	374
nalidixic_acid	QUINOLONE	4452	364	4088
nitrofurantoin	NITROFURANTOIN	405	42	363
piperacillin_tazobactam	BETA-LACTAM	686	127	559
streptomycin	AMINOGLYCOSIDE	4230	1602	2628
sulfamethoxazole	SULFONAMIDE	191	126	65
sulfisoxazole	SULFONAMIDE	3863	1266	2597
tetracycline	TETRACYCLINE	5072	2628	2444
tobramycin	AMINOGLYCOSIDE	1299	554	745
trimethoprim	TRIMETHOPRIM	1522	1299	223
trimethoprim_sulfamethoxazole	TRIMETHOPRIM	4995	818	4177
cefpirome	BETA-LACTAM	302	86	216
sulfonamides	SULFONAMIDE	1327	1044	283
temocillin	BETA-LACTAM	302	86	216
