antibiotic	drug_class	n_total	n_resistant	n_susceptible
amikacin	AMINOGLYCOSIDE	783	221	562
amoxicillin_clavulanic_acid	BETA-LACTAM	797	448	349
ampicillin_sulbactam	BETA-LACTAM	243	166	77
cefepime	BETA-LACTAM	682	353	329
cefotaxime	BETA-LACTAM	604	443	161
cefoxitin	BETA-LACTAM	566	394	172
ceftazidime	BETA-LACTAM	1312	751	561
ceftazidime_avibactam	BETA-LACTAM	238	75	163
ceftriaxone	BETA-LACTAM	1051	701	350
chloramphenicol	PHENICOL	116	86	30
ciprofloxacin	QUINOLONE	887	641	246
colistin	COLISTIN	471	379	92
doripenem	BETA-LACTAM	293	209	84
ertapenem	BETA-LACTAM	684	333	351
fosfomycin	FOSFOMYCIN	104	47	57
gentamicin	AMINOGLYCOSIDE	788	376	412
imipenem	BETA-LACTAM	632	407	225
levofloxacin	QUINOLONE	652	425	227
meropenem	BETA-LACTAM	817	441	376
minocycline	TETRACYCLINE	80	45	35
nitrofurantoin	NITROFURANTOIN	220	170	50
piperacillin_tazobactam	BETA-LACTAM	1073	598	475
tetracycline	TETRACYCLINE	576	326	250
tigecycline	TETRACYCLINE	410	121	289
tobramycin	AMINOGLYCOSIDE	677	380	297
trimethoprim_sulfamethoxazole	TRIMETHOPRIM	884	551	333
