antibiotic	drug_class	n_total	n_resistant	n_susceptible
amoxicillin_clavulanic_acid	BETA-LACTAM	9030	1383	7647
ampicillin	BETA-LACTAM	10053	2824	7229
cefotaxime	BETA-LACTAM	406	131	275
cefoxitin	BETA-LACTAM	9210	787	8423
ceftazidime	BETA-LACTAM	418	55	363
ceftiofur	BETA-LACTAM	4405	622	3783
ceftriaxone	BETA-LACTAM	8993	1078	7915
chloramphenicol	PHENICOL	10051	1099	8952
ciprofloxacin	QUINOLONE	9862	1127	8735
colistin	COLISTIN	1301	1000	301
gentamicin	AMINOGLYCOSIDE	9902	1328	8574
kanamycin	AMINOGLYCOSIDE	3794	460	3334
nalidixic_acid	QUINOLONE	9902	1153	8749
spectinomycin	AMINOGLYCOSIDE	430	257	173
streptomycin	AMINOGLYCOSIDE	8978	3504	5474
sulfamethoxazole	SULFONAMIDE	424	88	336
sulfisoxazole	SULFONAMIDE	8550	2460	6090
tetracycline	TETRACYCLINE	10050	5171	4879
trimethoprim	TRIMETHOPRIM	648	54	594
sulfonamides	SULFONAMIDE	920	590	330
