Antibiotic	Total_Tested	Susceptible	Intermediate	Resistant	Resistance_Rate
ciprofloxacin	24246	18845	356	5045	22.3
tetracycline	22980	11314	497	11169	50.8
gentamicin	22808	18839	521	3448	17.4
ampicillin	18295	10986	12	7297	40.0
nalidixic_acid	18220	15891	2	2327	12.8
ceftriaxone	17619	13691	92	3836	22.3
trimethoprim_sulfamethoxazole	17281	14667	64	2550	15.1
azithromycin	16880	15960	14	906	5.5
cefoxitin	15736	12703	249	2784	19.3
chloramphenicol	14874	13312	157	1405	10.5
amoxicillin_clavulanic_acid	14734	11753	954	2027	20.2
streptomycin	14572	9349	11	5212	35.8
sulfisoxazole	12456	8699	32	3725	30.2
meropenem	11982	11082	109	791	7.5
amikacin	6397	5478	110	809	14.4
ceftiofur	5580	4553	75	952	18.4
erythromycin	5420	4741	31	648	12.5
kanamycin	5175	4525	25	625	12.6
clindamycin	5106	4689	3	414	8.2
ceftazidime	4308	1947	205	2156	54.8
florfenicol	3873	3805	45	23	1.8
levofloxacin	3714	1544	343	1827	58.4
tobramycin	3428	1884	157	1387	45.0
cefotaxime	3017	1334	78	1605	55.8
telithromycin	2922	2863	0	59	2.0
imipenem	2803	2010	86	707	28.3
rifampin	2508	2386	22	100	4.9
sulfonamides	2492	771	2	1719	69.1
trimethoprim	2417	1004	12	1401	58.5
colistin	2351	723	1112	516	69.2
ertapenem	2346	1780	26	540	24.1
cefepime	2308	1399	79	830	39.4
piperacillin_tazobactam	2247	1179	146	922	47.5
cefazolin	1678	72	21	1585	95.7
nitrofurantoin	1635	724	82	829	55.7
penicillin	1550	576	258	716	62.8
ampicillin_sulbactam	1546	665	140	741	57.0
aztreonam	1483	192	35	1256	87.1
ethambutol	1282	1256	15	11	2.0
isoniazid	1277	1249	2	26	2.2
tigecycline	1260	1078	92	90	14.4
spectinomycin	1164	884	0	280	24.1
vancomycin	1075	884	1	190	17.8
oxacillin	970	786	0	184	19.0
linezolid	886	819	5	62	7.6
doripenem	750	380	50	320	49.3
cefixime	738	717	0	21	2.8
sulfamethoxazole	624	402	2	220	35.6
daptomycin	623	572	17	34	8.2
amoxicillin	552	385	11	156	30.3
ceftazidime_avibactam	482	330	0	152	31.5
cefpirome	400	314	0	86	21.5
temocillin	400	314	0	86	21.5
minocycline	392	276	46	70	29.6
mupirocin	345	294	0	51	14.8
netilmicin	329	316	0	13	4.0
fusidic_acid	326	313	0	13	4.0
teicoplanin	321	295	1	25	8.1
ceftolozane_tazobactam	313	158	9	146	49.5
moxifloxacin	298	178	11	109	40.3
ceftaroline	289	243	0	46	15.9
furazolidone	262	253	0	9	3.4
benzylpenicillin	255	5	227	23	98.0
clarithromycin	249	227	14	8	8.8
doxycycline	244	117	48	79	52.0
spiramycin	221	216	1	4	2.3
pristimycin	221	220	1	0	0.5
fosfomycin	199	148	0	51	25.6
cefuroxime	190	152	1	37	20.0
synercid	169	168	1	0	0.6
pyrazinamide	143	132	0	11	7.7
polymyxin_b	141	90	3	48	36.2
meropenem_vaborbactam	127	111	1	15	12.6
cefotetan	123	11	2	110	91.1
colomycin	98	96	0	2	2.0
piperacillin	69	7	2	60	89.9
neomycin	64	41	0	23	35.9
ticarcillin	62	0	0	62	100.0
delafloxacin	62	22	0	40	64.5
ticarcillin_clavulanic_acid	54	8	21	25	85.2
enrofloxacin	53	35	13	5	34.0
plazomicin	45	27	3	15	40.0
norfloxacin	39	32	0	7	17.9
ofloxacin	38	24	5	9	36.8
quinupristin_dalfopristin	36	21	1	14	41.7
cefoperazone	30	0	0	30	100.0
strofurantoin	30	30	0	0	0.0
metronidazole	28	28	0	0	0.0
fidaxomicin	28	28	0	0	0.0
cefotaxime_clavulanic_acid	27	1	1	25	96.3
imipenem_relebactam	26	5	1	20	80.8
tedizolid	25	2	2	21	92.0
capreomycin	24	1	19	4	95.8
ethionamide	24	4	16	4	83.3
cefiderocol	22	20	1	1	9.1
cephalothin	12	1	0	11	91.7
voriconazole	12	2	3	7	83.3
tiamulin	12	0	0	12	100.0
fluconazole	12	2	0	10	83.3
cycloserine	11	11	0	0	0.0
posaconazole	9	9	0	0	0.0
micafungin	9	0	0	9	100.0
anidulafungin	9	0	0	9	100.0
amphotericin_b	9	4	0	5	55.6
caspofungin	9	0	0	9	100.0
omadacycline	9	4	3	2	55.6
isavuconazole	9	5	2	2	44.4
itraconazole	9	5	4	0	44.4
sulfamethoxazole_trimethoprim	5	2	0	3	60.0
flucytosine	5	2	0	3	60.0
cefalotin	4	0	0	4	100.0
sulbactam	4	0	0	4	100.0
sulfonamide	4	0	0	4	100.0
cefalexin	4	0	0	4	100.0
phosphomycin	4	4	0	0	0.0
oxytetracycline	3	0	0	3	100.0
chlortetracycline	2	0	0	2	100.0
tilmicosin	2	0	0	2	100.0
tylosin	2	0	0	2	100.0
sulphadimethoxine	2	0	0	2	100.0
apramycin	1	1	0	0	0.0
ceftazidime_clavulanic_acid	1	0	0	1	100.0
eravacycline	1	1	0	0	0.0
cephalexin	1	0	0	1	100.0
lincomycin	1	0	0	1	100.0
pefloxacin	1	0	0	1	100.0
