antibiotic	drug_class	n_total	n_resistant	n_susceptible	species
amoxicillin_clavulanic_acid	BETA-LACTAM	9030	1383	7647	Salmonella_enterica
ampicillin	BETA-LACTAM	10053	2824	7229	Salmonella_enterica
cefotaxime	BETA-LACTAM	406	131	275	Salmonella_enterica
cefoxitin	BETA-LACTAM	9210	787	8423	Salmonella_enterica
ceftazidime	BETA-LACTAM	418	55	363	Salmonella_enterica
ceftiofur	BETA-LACTAM	4405	622	3783	Salmonella_enterica
ceftriaxone	BETA-LACTAM	8993	1078	7915	Salmonella_enterica
chloramphenicol	PHENICOL	10051	1099	8952	Salmonella_enterica
ciprofloxacin	QUINOLONE	9862	1127	8735	Salmonella_enterica
colistin	COLISTIN	1301	1000	301	Salmonella_enterica
gentamicin	AMINOGLYCOSIDE	9902	1328	8574	Salmonella_enterica
kanamycin	AMINOGLYCOSIDE	3794	460	3334	Salmonella_enterica
nalidixic_acid	QUINOLONE	9902	1153	8749	Salmonella_enterica
spectinomycin	AMINOGLYCOSIDE	430	257	173	Salmonella_enterica
streptomycin	AMINOGLYCOSIDE	8978	3504	5474	Salmonella_enterica
sulfamethoxazole	SULFONAMIDE	424	88	336	Salmonella_enterica
sulfisoxazole	SULFONAMIDE	8550	2460	6090	Salmonella_enterica
tetracycline	TETRACYCLINE	10050	5171	4879	Salmonella_enterica
trimethoprim	TRIMETHOPRIM	648	54	594	Salmonella_enterica
sulfonamides	SULFONAMIDE	920	590	330	Salmonella_enterica
amikacin	AMINOGLYCOSIDE	1206	276	930	Escherichia_coli
amoxicillin_clavulanic_acid	BETA-LACTAM	4457	905	3552	Escherichia_coli
ampicillin	BETA-LACTAM	6450	3032	3418	Escherichia_coli
ampicillin_sulbactam	BETA-LACTAM	512	314	198	Escherichia_coli
azithromycin	MACROLIDE	5314	587	4727	Escherichia_coli
aztreonam	BETA-LACTAM	263	151	112	Escherichia_coli
cefazolin	BETA-LACTAM	530	475	55	Escherichia_coli
cefepime	BETA-LACTAM	1044	275	769	Escherichia_coli
cefotaxime	BETA-LACTAM	815	371	444	Escherichia_coli
cefoxitin	BETA-LACTAM	4979	994	3985	Escherichia_coli
ceftazidime	BETA-LACTAM	1373	580	793	Escherichia_coli
ceftiofur	BETA-LACTAM	1129	405	724	Escherichia_coli
ceftriaxone	BETA-LACTAM	5561	1158	4403	Escherichia_coli
chloramphenicol	PHENICOL	4460	340	4120	Escherichia_coli
ciprofloxacin	QUINOLONE	6375	1231	5144	Escherichia_coli
colistin	COLISTIN	323	164	159	Escherichia_coli
doripenem	BETA-LACTAM	115	31	84	Escherichia_coli
ertapenem	BETA-LACTAM	1316	148	1168	Escherichia_coli
gentamicin	AMINOGLYCOSIDE	6072	1271	4801	Escherichia_coli
imipenem	BETA-LACTAM	573	39	534	Escherichia_coli
kanamycin	AMINOGLYCOSIDE	1130	155	975	Escherichia_coli
levofloxacin	QUINOLONE	1049	675	374	Escherichia_coli
nalidixic_acid	QUINOLONE	4452	364	4088	Escherichia_coli
nitrofurantoin	NITROFURANTOIN	405	42	363	Escherichia_coli
piperacillin_tazobactam	BETA-LACTAM	686	127	559	Escherichia_coli
streptomycin	AMINOGLYCOSIDE	4230	1602	2628	Escherichia_coli
sulfamethoxazole	SULFONAMIDE	191	126	65	Escherichia_coli
sulfisoxazole	SULFONAMIDE	3863	1266	2597	Escherichia_coli
tetracycline	TETRACYCLINE	5072	2628	2444	Escherichia_coli
tobramycin	AMINOGLYCOSIDE	1299	554	745	Escherichia_coli
trimethoprim	TRIMETHOPRIM	1522	1299	223	Escherichia_coli
trimethoprim_sulfamethoxazole	TRIMETHOPRIM	4995	818	4177	Escherichia_coli
cefpirome	BETA-LACTAM	302	86	216	Escherichia_coli
sulfonamides	SULFONAMIDE	1327	1044	283	Escherichia_coli
temocillin	BETA-LACTAM	302	86	216	Escherichia_coli
amikacin	AMINOGLYCOSIDE	783	221	562	Klebsiella_pneumoniae
amoxicillin_clavulanic_acid	BETA-LACTAM	797	448	349	Klebsiella_pneumoniae
ampicillin_sulbactam	BETA-LACTAM	243	166	77	Klebsiella_pneumoniae
cefepime	BETA-LACTAM	682	353	329	Klebsiella_pneumoniae
cefotaxime	BETA-LACTAM	604	443	161	Klebsiella_pneumoniae
cefoxitin	BETA-LACTAM	566	394	172	Klebsiella_pneumoniae
ceftazidime	BETA-LACTAM	1312	751	561	Klebsiella_pneumoniae
ceftazidime_avibactam	BETA-LACTAM	238	75	163	Klebsiella_pneumoniae
ceftriaxone	BETA-LACTAM	1051	701	350	Klebsiella_pneumoniae
chloramphenicol	PHENICOL	116	86	30	Klebsiella_pneumoniae
ciprofloxacin	QUINOLONE	887	641	246	Klebsiella_pneumoniae
colistin	COLISTIN	471	379	92	Klebsiella_pneumoniae
doripenem	BETA-LACTAM	293	209	84	Klebsiella_pneumoniae
ertapenem	BETA-LACTAM	684	333	351	Klebsiella_pneumoniae
fosfomycin	FOSFOMYCIN	104	47	57	Klebsiella_pneumoniae
gentamicin	AMINOGLYCOSIDE	788	376	412	Klebsiella_pneumoniae
imipenem	BETA-LACTAM	632	407	225	Klebsiella_pneumoniae
levofloxacin	QUINOLONE	652	425	227	Klebsiella_pneumoniae
meropenem	BETA-LACTAM	817	441	376	Klebsiella_pneumoniae
minocycline	TETRACYCLINE	80	45	35	Klebsiella_pneumoniae
nitrofurantoin	NITROFURANTOIN	220	170	50	Klebsiella_pneumoniae
piperacillin_tazobactam	BETA-LACTAM	1073	598	475	Klebsiella_pneumoniae
tetracycline	TETRACYCLINE	576	326	250	Klebsiella_pneumoniae
tigecycline	TETRACYCLINE	410	121	289	Klebsiella_pneumoniae
tobramycin	AMINOGLYCOSIDE	677	380	297	Klebsiella_pneumoniae
trimethoprim_sulfamethoxazole	TRIMETHOPRIM	884	551	333	Klebsiella_pneumoniae
ciprofloxacin	QUINOLONE	480	76	404	Staphylococcus_aureus
clindamycin	LINCOSAMIDE	709	238	471	Staphylococcus_aureus
doxycycline	TETRACYCLINE	106	38	68	Staphylococcus_aureus
erythromycin	MACROLIDE	749	339	410	Staphylococcus_aureus
gentamicin	AMINOGLYCOSIDE	583	112	471	Staphylococcus_aureus
levofloxacin	QUINOLONE	442	145	297	Staphylococcus_aureus
linezolid	OXAZOLIDINONE	531	31	500	Staphylococcus_aureus
mupirocin	MUPIROCIN	345	51	294	Staphylococcus_aureus
oxacillin	BETA-LACTAM	721	152	569	Staphylococcus_aureus
penicillin	BETA-LACTAM	384	346	38	Staphylococcus_aureus
tetracycline	TETRACYCLINE	765	94	671	Staphylococcus_aureus
trimethoprim_sulfamethoxazole	TRIMETHOPRIM	657	61	596	Staphylococcus_aureus
vancomycin	GLYCOPEPTIDE	580	72	508	Staphylococcus_aureus
amikacin	AMINOGLYCOSIDE	702	324	378	Acinetobacter_baumannii
ampicillin_sulbactam	BETA-LACTAM	693	348	345	Acinetobacter_baumannii
ceftazidime	BETA-LACTAM	728	633	95	Acinetobacter_baumannii
ceftriaxone	BETA-LACTAM	727	682	45	Acinetobacter_baumannii
ciprofloxacin	QUINOLONE	754	660	94	Acinetobacter_baumannii
doripenem	BETA-LACTAM	187	46	141	Acinetobacter_baumannii
gentamicin	AMINOGLYCOSIDE	751	651	100	Acinetobacter_baumannii
imipenem	BETA-LACTAM	709	205	504	Acinetobacter_baumannii
levofloxacin	QUINOLONE	713	590	123	Acinetobacter_baumannii
meropenem	BETA-LACTAM	378	201	177	Acinetobacter_baumannii
tetracycline	TETRACYCLINE	739	546	193	Acinetobacter_baumannii
tobramycin	AMINOGLYCOSIDE	719	410	309	Acinetobacter_baumannii
trimethoprim_sulfamethoxazole	TRIMETHOPRIM	731	609	122	Acinetobacter_baumannii
