Species	Antibiotic	F1	Rank	Feature	Mean_abs_SHAP
S. enterica	amoxicillin_clavulanic_acid	0.9029862177781252	1	has_target_arg	0.0492622581403756
S. enterica	amoxicillin_clavulanic_acid	0.9029862177781252	2	n_target_args	0.0428037838818296
S. enterica	amoxicillin_clavulanic_acid	0.9029862177781252	3	target_n_plasmid	0.0401772192108694
S. enterica	amoxicillin_clavulanic_acid	0.9029862177781252	4	target_any_on_plasmid	0.0352857851192506
S. enterica	amoxicillin_clavulanic_acid	0.9029862177781252	5	arg_functional_score	0.0252223433855881
S. enterica	ampicillin	0.9691166179279688	1	has_target_arg	0.069075268116711
S. enterica	ampicillin	0.9691166179279688	2	n_target_args	0.0577750680096335
S. enterica	ampicillin	0.9691166179279688	3	target_n_plasmid	0.0455402234257791
S. enterica	ampicillin	0.9691166179279688	4	target_any_on_plasmid	0.038818738579497
S. enterica	ampicillin	0.9691166179279688	5	arg_functional_score	0.0258858582781059
S. enterica	cefotaxime	1.0	1	arg_functional_score	0.056595060557336
S. enterica	cefotaxime	1.0	2	n_target_args	0.037293029669152
S. enterica	cefotaxime	1.0	3	has_target_arg	0.0372271380272961
S. enterica	cefotaxime	1.0	4	target_n_plasmid	0.0355695167283824
S. enterica	cefotaxime	1.0	5	target_any_on_plasmid	0.0349215636518951
S. enterica	cefoxitin	0.935633773123795	1	target_rbs_dg_mrna_mean	0.0490091952058464
S. enterica	cefoxitin	0.935633773123795	2	target_cai_max	0.0398941345097604
S. enterica	cefoxitin	0.935633773123795	3	target_rare_codon_pct_mean	0.0388015026087107
S. enterica	cefoxitin	0.935633773123795	4	target_gc_deviation_max	0.0381247222188743
S. enterica	cefoxitin	0.935633773123795	5	genome_gc	0.0322241818310855
S. enterica	ceftazidime	0.7809464372393434	1	target_gc_deviation_max	0.047510181682644
S. enterica	ceftazidime	0.7809464372393434	2	target_gene_gc_max	0.044024434858346
S. enterica	ceftazidime	0.7809464372393434	3	target_cai_max	0.0410627582846597
S. enterica	ceftazidime	0.7809464372393434	4	genome_gc	0.0343471693634163
S. enterica	ceftazidime	0.7809464372393434	5	target_cai_mean	0.0342948059425572
S. enterica	ceftiofur	0.966619912964684	1	target_gene_gc_max	0.0538652518434076
S. enterica	ceftiofur	0.966619912964684	2	target_rare_codon_pct_mean	0.0499085304227075
S. enterica	ceftiofur	0.966619912964684	3	target_cai_mean	0.0482966428017258
S. enterica	ceftiofur	0.966619912964684	4	target_cai_max	0.043050886331725
S. enterica	ceftiofur	0.966619912964684	5	target_gc_deviation_max	0.0373947040039129
S. enterica	ceftriaxone	0.9667863376055496	1	target_cai_max	0.0496069248779541
S. enterica	ceftriaxone	0.9667863376055496	2	target_rare_codon_pct_mean	0.046361604102158
S. enterica	ceftriaxone	0.9667863376055496	3	target_gc_deviation_max	0.0437614532453628
S. enterica	ceftriaxone	0.9667863376055496	4	target_cai_mean	0.032695043458369
S. enterica	ceftriaxone	0.9667863376055496	5	target_gc_deviation_mean	0.0268898433594383
S. enterica	chloramphenicol	0.9287300018075664	1	arg_functional_score	0.0464337847914818
S. enterica	chloramphenicol	0.9287300018075664	2	target_any_on_plasmid	0.0460876310484694
S. enterica	chloramphenicol	0.9287300018075664	3	has_target_arg	0.0457112356627577
S. enterica	chloramphenicol	0.9287300018075664	4	target_n_plasmid	0.0436283185782894
S. enterica	chloramphenicol	0.9287300018075664	5	n_target_args	0.040348086796854
S. enterica	ciprofloxacin	0.9598362702553392	1	pf_has_gyrA	0.1312997574287686
S. enterica	ciprofloxacin	0.9598362702553392	2	pf_n_quinolone_mutations	0.0916348981316638
S. enterica	ciprofloxacin	0.9598362702553392	3	pf_n_mutations	0.0709049543869636
S. enterica	ciprofloxacin	0.9598362702553392	4	pf_has_parC	0.0303922126374949
S. enterica	ciprofloxacin	0.9598362702553392	5	pf_has_quinolone_mutation	0.0283422994295121
S. enterica	colistin	0.9985062220071712	1	st_17	0.103764690141351
S. enterica	colistin	0.9985062220071712	2	pf_n_quinolone_mutations	0.0814441932565359
S. enterica	colistin	0.9985062220071712	3	pf_n_mutations	0.0804931160338474
S. enterica	colistin	0.9985062220071712	4	genome_gc	0.0516670643165236
S. enterica	colistin	0.9985062220071712	5	st_10	0.0484924952191207
S. enterica	gentamicin	0.9103896150342496	1	target_gc_deviation_max	0.0631643085151867
S. enterica	gentamicin	0.9103896150342496	2	target_gene_gc_max	0.0541306014812274
S. enterica	gentamicin	0.9103896150342496	3	target_cai_max	0.0482129524598586
S. enterica	gentamicin	0.9103896150342496	4	target_rbs_dg_mrna_mean	0.0336824898233141
S. enterica	gentamicin	0.9103896150342496	5	target_rare_codon_pct_mean	0.0304604209519597
S. enterica	kanamycin	0.8314460738508338	1	genome_gc	0.0446950701122285
S. enterica	kanamycin	0.8314460738508338	2	target_gene_gc_mean	0.0422022383994793
S. enterica	kanamycin	0.8314460738508338	3	target_gc_deviation_mean	0.0375903484959374
S. enterica	kanamycin	0.8314460738508338	4	n_target_args	0.0284353038281225
S. enterica	kanamycin	0.8314460738508338	5	target_promoter_ldf_min	0.0271252969009028
S. enterica	nalidixic_acid	0.9733260062349216	1	pf_has_gyrA	0.1642311610923174
S. enterica	nalidixic_acid	0.9733260062349216	2	pf_n_quinolone_mutations	0.1020339144009841
S. enterica	nalidixic_acid	0.9733260062349216	3	pf_n_mutations	0.0855723800264281
S. enterica	nalidixic_acid	0.9733260062349216	4	pf_has_parC	0.0355203001004052
S. enterica	nalidixic_acid	0.9733260062349216	5	pf_has_quinolone_mutation	0.0317207439169995
S. enterica	spectinomycin	0.9412957210273764	1	n_target_args	0.0449610778409952
S. enterica	spectinomycin	0.9412957210273764	2	n_amr_genes	0.0442525750769005
S. enterica	spectinomycin	0.9412957210273764	3	has_target_arg	0.0410135750182292
S. enterica	spectinomycin	0.9412957210273764	4	target_n_chromosome	0.0329921253030307
S. enterica	spectinomycin	0.9412957210273764	5	genome_gene_copies_sum	0.028753971895114
S. enterica	streptomycin	0.9345012913633032	1	n_target_args	0.0533854614954451
S. enterica	streptomycin	0.9345012913633032	2	has_target_arg	0.0524524863561618
S. enterica	streptomycin	0.9345012913633032	3	target_n_plasmid	0.0456250000421672
S. enterica	streptomycin	0.9345012913633032	4	target_any_on_plasmid	0.0394968854365768
S. enterica	streptomycin	0.9345012913633032	5	arg_functional_score	0.023582847112896
S. enterica	sulfamethoxazole	0.947754372019078	1	has_target_arg	0.0563636473660455
S. enterica	sulfamethoxazole	0.947754372019078	2	n_target_args	0.0483032328331076
S. enterica	sulfamethoxazole	0.947754372019078	3	arg_functional_score	0.048203330424217
S. enterica	sulfamethoxazole	0.947754372019078	4	arg_poor_adaptation	0.0443198238204073
S. enterica	sulfamethoxazole	0.947754372019078	5	genome_gc	0.0440488087656655
S. enterica	sulfisoxazole	0.9768490476443092	1	has_target_arg	0.0675306059361723
S. enterica	sulfisoxazole	0.9768490476443092	2	n_target_args	0.0572933950079438
S. enterica	sulfisoxazole	0.9768490476443092	3	arg_poor_adaptation	0.0469625086307732
S. enterica	sulfisoxazole	0.9768490476443092	4	target_any_on_plasmid	0.0460333519623968
S. enterica	sulfisoxazole	0.9768490476443092	5	target_n_plasmid	0.037886370527219
S. enterica	sulfonamides	0.9638297895987136	1	n_target_args	0.0698732234657819
S. enterica	sulfonamides	0.9638297895987136	2	has_target_arg	0.0624276656687095
S. enterica	sulfonamides	0.9638297895987136	3	arg_poor_adaptation	0.0518449981870566
S. enterica	sulfonamides	0.9638297895987136	4	n_amr_genes	0.0336812093707682
S. enterica	sulfonamides	0.9638297895987136	5	arg_functional_score	0.0270178073125008
S. enterica	tetracycline	0.9803896381393836	1	has_target_arg	0.0671607896605223
S. enterica	tetracycline	0.9803896381393836	2	n_target_args	0.0587011438635687
S. enterica	tetracycline	0.9803896381393836	3	target_n_plasmid	0.0568966208977272
S. enterica	tetracycline	0.9803896381393836	4	target_any_on_plasmid	0.043069416551584
S. enterica	tetracycline	0.9803896381393836	5	arg_functional_score	0.0416615394854581
S. enterica	trimethoprim	0.7298072255738159	1	genome_gc	0.054875008914455
S. enterica	trimethoprim	0.7298072255738159	2	n_amr_genes	0.0359843388674247
S. enterica	trimethoprim	0.7298072255738159	3	target_n_plasmid	0.0342304689344592
S. enterica	trimethoprim	0.7298072255738159	4	has_target_arg	0.033593200754845
S. enterica	trimethoprim	0.7298072255738159	5	genome_gene_copies_sum	0.0308964641330427
E. coli	amikacin	0.9230470816434492	1	st_152	0.0710346404547386
E. coli	amikacin	0.9230470816434492	2	target_operon_size_mean	0.0436011165460598
E. coli	amikacin	0.9230470816434492	3	target_min_srna_distance	0.0339188651581573
