Species	Antibiotic	Max_F1	Smallest_n_at_95pct	F1_at_n50	F1_at_n200	F1_at_n500	F1_at_n1000	F1_at_max_n	Max_n	Status
S. enterica	amoxicillin_clavulanic_acid	0.9029862177781252	200		0.8625641025641025	0.8750773586813632	0.8500836306868866	0.9029862177781252	9030	plateau
S. enterica	ampicillin	0.9691166179279688	50	0.9314285714285712	0.9135265700483092	0.9349801680473186	0.9504812187207832	0.965627308202076	10000	plateau
S. enterica	cefotaxime	1.0	50	1.0	1.0			1.0	406	plateau
S. enterica	cefoxitin	0.935633773123795	300		0.8761904761904761	0.8753783969728243	0.8822714540361598	0.9130852413412957	9210	plateau
S. enterica	ceftazidime	0.7809464372393434	418		0.646919746919747			0.7809464372393434	418	improving
S. enterica	ceftiofur	0.966619912964684	100		0.9636363636363636	0.965925925925926	0.971164274322169	0.9657498909279598	4405	improving
S. enterica	ceftriaxone	0.9667863376055496	750		0.8865800865800866	0.9164505466564964	0.9531837804502004	0.9639794728021456	8993	plateau
S. enterica	chloramphenicol	0.9287300018075664	100		1.0	0.904276501530506	0.8508230067804534	0.8971686212815639	10000	plateau
S. enterica	ciprofloxacin	0.9598362702553392	100		0.9214285714285716	0.9650848861283644	0.9347783409049432	0.9535397757923662	9862	plateau
S. enterica	colistin	0.9985062220071712	50	1.0	0.99672131147541	0.9960948515274513	0.9987096774193548	0.9985062220071712	1301	plateau
S. enterica	gentamicin	0.9103896150342496	200		0.8857142857142858	0.8426666666666666	0.896047674968354	0.8930008344512558	9902	plateau
S. enterica	kanamycin	0.8314460738508338	1000		0.7377777777777779	0.7889610389610389	0.8202853475361704	0.8062708135767005	3794	plateau
S. enterica	nalidixic_acid	0.9733260062349216	500		0.8833333333333332	0.954112554112554	0.9463683855746544	0.9733260062349216	9902	plateau
S. enterica	spectinomycin	0.9412957210273764	100	0.8749184149184149	0.9238727490996398			0.9310696876961452	430	improving
S. enterica	streptomycin	0.9345012913633032	200	0.8361904761904763	0.8898077618144031	0.9302853772733292	0.8981630259404515	0.9281418617164088	8978	plateau
S. enterica	sulfamethoxazole	0.947754372019078	50	1.0	1.0			0.9374748617395676	424	plateau
S. enterica	sulfisoxazole	0.9768490476443092	50	1.0	0.9462074157726332	0.9326312908708554	0.9573771942419284	0.9726354270493844	8550	plateau
S. enterica	sulfonamides	0.9638297895987136	50	1.0	0.984313725490196	0.9585279636216674		0.9638297895987136	920	improving
S. enterica	tetracycline	0.9803896381393836	50	0.9846153846153848	0.960714690867839	0.9628682406702208	0.9655923237020492	0.9784018573169144	10000	plateau
S. enterica	trimethoprim	0.7298072255738159	200		0.7561904761904762	0.7446078431372548		0.7298072255738159	648	plateau
E. coli	amikacin	0.9230470816434492	200	0.6333333333333333	0.8877089783281734	0.897053282634678	0.9131547856496725	0.9213129912159038	1206	improving
E. coli	amoxicillin_clavulanic_acid	0.8286839851532065	1000	0.2666666666666666	0.7507002801120448	0.7593321118937817	0.8127985016341182	0.8274120961205892	4417	plateau
E. coli	ampicillin	0.9729775846365528	50	1.0	0.9891575091575092	0.9740412186379928	0.974096369400984	0.9729775846365528	6410	plateau
E. coli	ampicillin_sulbactam	0.9229886013446452	50	0.8800699300699302	0.8951471584279576	0.9201011806425454		0.9229886013446452	512	plateau
E. coli	azithromycin	0.9552717372218364	200		0.938095238095238	0.9303030303030304	0.9593892412497064	0.9552717372218364	5274	plateau
E. coli	aztreonam	0.9255637080032744	50	0.8997668997668999	0.8850050658561297			0.9255637080032744	263	improving
E. coli	cefazolin	0.963793951739374	100		0.9428318729688592	0.9592225175205468		0.963793951739374	530	plateau
E. coli	cefepime	0.6389661841598936	1000	0.3133333333333333	0.4736075589656153	0.5476910691378777	0.6118627450980393	0.5662062650426765	1044	plateau
E. coli	cefotaxime	0.9341518967288464	300	0.8711111111111111	0.8689002366421722	0.9228492873962		0.9222585197669748	815	plateau
E. coli	cefoxitin	0.8544347222917097	50	0.8666666666666666	0.6764468864468864	0.7655783844638334	0.7701471467331931	0.8447103171585173	4939	improving
E. coli	cefpirome	0.9710635769459298	50	0.96	0.9833333333333332			0.9710635769459298	302	plateau
E. coli	ceftazidime	0.8218732660780855	200	0.6742857142857142	0.821994792051718	0.8097205426109394	0.8132136384477185	0.8168090804041868	1373	plateau
E. coli	ceftiofur	0.9332048476577804	50	0.9428571428571428	0.9649769585253456	0.9399636869218538	0.9254418592046096	0.9319532499068364	1129	improving
E. coli	ceftriaxone	0.9554424632367184	100	0.8533333333333333	0.9777089783281736	0.9562749445676276	0.9607776715022052	0.9554424632367184	5521	plateau
