sample_id	mlst_st	mlst_scheme	srr_accession	host_category	country	serovar	species
562.16466	617	ecoli	562.16466	Unknown	Unknown		
562.19079	1040	ecoli	562.19079	Unknown	Unknown		
562.30349	648	ecoli	562.30349	Unknown	Unknown		
562.45657	1324	ecoli	562.45657	Unknown	Unknown		
562.58703	155	ecoli	562.58703	Unknown	Unknown		
562.58704	1266	ecoli	562.58704	Unknown	Unknown		
562.58705	156	ecoli	562.58705	Unknown	Unknown		
562.58706	-	ecoli	562.58706	Unknown	Unknown		
562.58707	345	ecoli	562.58707	Unknown	Unknown		
562.58708	-	ecoli	562.58708	Unknown	Unknown		
562.58709	155	ecoli	562.58709	Unknown	Unknown		
562.58711	101	ecoli	562.58711	Unknown	Unknown		
562.58712	744	ecoli	562.58712	Unknown	Unknown		
562.58713	371	ecoli	562.58713	Unknown	Unknown		
562.58714	744	ecoli	562.58714	Unknown	Unknown		
562.58715	6875	ecoli	562.58715	Unknown	Unknown		
562.58716	-	ecoli	562.58716	Unknown	Unknown		
562.58717	131	ecoli	562.58717	Unknown	Unknown		
562.58718	1086	ecoli	562.58718	Unknown	Unknown		
562.58719	-	ecoli	562.58719	Unknown	Unknown		
562.58721	156	ecoli	562.58721	Unknown	Unknown		
562.58722	-	ecoli	562.58722	Unknown	Unknown		
562.58723	156	ecoli	562.58723	Unknown	Unknown		
562.58724	398	ecoli	562.58724	Unknown	Unknown		
562.58725	354	ecoli	562.58725	Unknown	Unknown		
562.58726	-	ecoli	562.58726	Unknown	Unknown		
562.58727	-	ecoli	562.58727	Unknown	Unknown		
562.58728	359	ecoli	562.58728	Unknown	Unknown		
562.58729	155	ecoli	562.58729	Unknown	Unknown		
562.58731	224	ecoli	562.58731	Unknown	Unknown		
562.58732	4096	ecoli	562.58732	Unknown	Unknown		
562.58733	-	ecoli	562.58733	Unknown	Unknown		
562.58734	744	ecoli	562.58734	Unknown	Unknown		
562.58735	4682	ecoli	562.58735	Unknown	Unknown		
562.58736	10	ecoli	562.58736	Unknown	Unknown		
562.58737	410	ecoli	562.58737	Unknown	Unknown		
562.58738	5708	ecoli	562.58738	Unknown	Unknown		
562.58739	1602	ecoli	562.58739	Unknown	Unknown		
562.58772	3998	ecoli	562.58772	Unknown	Unknown		
562.58773	-	ecoli	562.58773	Unknown	Unknown		
562.58775	23	ecoli	562.58775	Unknown	Unknown		
562.58785	7210	ecoli	562.58785	Unknown	Unknown		
562.58789	127	ecoli	562.58789	Unknown	Unknown		
562.58791	-	ecoli	562.58791	Unknown	Unknown		
621.157	34	ecoli	621.157	Unknown	Unknown		
623.1277	245	ecoli	623.1277	Unknown	Unknown		
623.1278	245	ecoli	623.1278	Unknown	Unknown		
623.1279	245	ecoli	623.1279	Unknown	Unknown		
623.1281	1025	ecoli	623.1281	Unknown	Unknown		
623.1282	245	ecoli	623.1282	Unknown	Unknown		
623.1283	245	ecoli	623.1283	Unknown	Unknown		
623.1284	245	ecoli	623.1284	Unknown	Unknown		
623.1285	245	ecoli	623.1285	Unknown	Unknown		
623.1286	1025	ecoli	623.1286	Unknown	Unknown		
623.1287	245	ecoli	623.1287	Unknown	Unknown		
623.1288	245	ecoli	623.1288	Unknown	Unknown		
623.1289	245	ecoli	623.1289	Unknown	Unknown		
623.1291	245	ecoli	623.1291	Unknown	Unknown		
623.1292	245	ecoli	623.1292	Unknown	Unknown		
623.1293	245	ecoli	623.1293	Unknown	Unknown		
