sample_id	mlst_st	mlst_scheme	srr_accession	host_category	country	serovar	species
192955.351	198	senterica	192955.351	Unknown	Unknown		
192955.352	198	senterica	192955.352	Unknown	Unknown		
192955.353	198	senterica	192955.353	Unknown	Unknown		
192955.354	198	senterica	192955.354	Unknown	Unknown		
192955.355	198	senterica	192955.355	Unknown	Unknown		
192955.356	198	senterica	192955.356	Unknown	Unknown		
192955.357	198	senterica	192955.357	Unknown	Unknown		
192955.358	198	senterica	192955.358	Unknown	Unknown		
192955.359	198	senterica	192955.359	Unknown	Unknown		
192955.361	198	senterica	192955.361	Unknown	Unknown		
192955.362	198	senterica	192955.362	Unknown	Unknown		
192955.363	198	senterica	192955.363	Unknown	Unknown		
192955.364	198	senterica	192955.364	Unknown	Unknown		
192955.365	198	senterica	192955.365	Unknown	Unknown		
192955.366	198	senterica	192955.366	Unknown	Unknown		
192955.367	198	senterica	192955.367	Unknown	Unknown		
192955.368	198	senterica	192955.368	Unknown	Unknown		
192955.369	198	senterica	192955.369	Unknown	Unknown		
192955.371	198	senterica	192955.371	Unknown	Unknown		
192955.372	198	senterica	192955.372	Unknown	Unknown		
192955.373	198	senterica	192955.373	Unknown	Unknown		
192955.374	198	senterica	192955.374	Unknown	Unknown		
192955.375	198	senterica	192955.375	Unknown	Unknown		
192955.376	1680	senterica	192955.376	Unknown	Unknown		
192955.377	198	senterica	192955.377	Unknown	Unknown		
192955.378	198	senterica	192955.378	Unknown	Unknown		
192955.379	198	senterica	192955.379	Unknown	Unknown		
192955.381	198	senterica	192955.381	Unknown	Unknown		
192955.382	198	senterica	192955.382	Unknown	Unknown		
192955.383	198	senterica	192955.383	Unknown	Unknown		
192955.384	198	senterica	192955.384	Unknown	Unknown		
192955.385	198	senterica	192955.385	Unknown	Unknown		
192955.386	198	senterica	192955.386	Unknown	Unknown		
192955.387	198	senterica	192955.387	Unknown	Unknown		
192955.388	198	senterica	192955.388	Unknown	Unknown		
192955.389	198	senterica	192955.389	Unknown	Unknown		
192955.391	198	senterica	192955.391	Unknown	Unknown		
192955.392	198	senterica	192955.392	Unknown	Unknown		
192955.393	198	senterica	192955.393	Unknown	Unknown		
192955.394	198	senterica	192955.394	Unknown	Unknown		
192955.395	198	senterica	192955.395	Unknown	Unknown		
192955.396	198	senterica	192955.396	Unknown	Unknown		
192955.397	198	senterica	192955.397	Unknown	Unknown		
192955.398	198	senterica	192955.398	Unknown	Unknown		
192955.399	198	senterica	192955.399	Unknown	Unknown		
192955.401	198	senterica	192955.401	Unknown	Unknown		
192955.402	198	senterica	192955.402	Unknown	Unknown		
192955.403	198	senterica	192955.403	Unknown	Unknown		
192955.404	198	senterica	192955.404	Unknown	Unknown		
192955.405	198	senterica	192955.405	Unknown	Unknown		
192955.406	198	senterica	192955.406	Unknown	Unknown		
192955.407	198	senterica	192955.407	Unknown	Unknown		
192955.408	198	senterica	192955.408	Unknown	Unknown		
192955.409	198	senterica	192955.409	Unknown	Unknown		
192955.411	198	senterica	192955.411	Unknown	Unknown		
192955.412	198	senterica	192955.412	Unknown	Unknown		
192955.413	198	senterica	192955.413	Unknown	Unknown		
